threshold,ablation_type,n_features,features,macro_f1,exact_acc,adj_acc,removed_feature
0.75,incremental,3,"spectral_contrast_mean,crest_factor,chroma_std",0.25423294769824056,0.5883361921097771,0.9965694682675815,
0.75,incremental,5,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean",0.33035936453249115,0.5780445969125214,0.9622641509433962,
0.75,incremental,7,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio",0.3667864500692269,0.49056603773584906,0.8765008576329331,
0.75,incremental,10,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.35767126632482693,0.5025728987993139,0.8593481989708405,
0.75,leave_one_out,9,"crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.3520021388041692,0.48198970840480276,0.8113207547169812,spectral_contrast_mean
0.75,leave_one_out,9,"spectral_contrast_mean,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.3734429429225911,0.5197255574614065,0.8867924528301887,crest_factor
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.35811697868833153,0.49914236706689535,0.8473413379073756,chroma_std
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.3325355060673853,0.5368782161234992,0.9742710120068611,zcr
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.32602503396947924,0.5248713550600344,0.9125214408233276,spectral_entropy_mean
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.33481595271989556,0.5591766723842195,0.934819897084048,centroid_mean
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,onset_rate,spectral_flatness_mean,duration_s",0.36173435276205607,0.5506003430531733,0.8662092624356775,harmonic_percussive_ratio
0.75,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,spectral_flatness_mean,duration_s",0.36461363855799195,0.4922813036020583,0.869639794168096,onset_rate
