filepath,label,split,aug_type,mic_type,experiment,mel_path,group,orig_filepath,drill_diameter,coolant,gcode_pattern,drill_series,fixture,label_original,is_original,orig_experiment,duration_s,rms,rms_db,peak,zcr,mel_total_energy,centroid_mean,centroid_std,rolloff_mean,rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_entropy_mean,spectral_contrast_mean,mfcc_0_mean,mfcc_1_mean,chroma_mean_first,chroma_mean,chroma_std,tonnetz_0_mean,harmonic_percussive_ratio,tempo,onset_rate,crest_factor,wavelet_total_energy,filepath_clean
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_019.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\broca_6_2_019_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.0938188955187797,-20.554193672393023,0.999969482421875,0.19090820963107927,77.81209564208984,6763.191456814497,469.6029561463096,12920.725245669551,916.034746117096,0.0802579224109649,0.0318179652094841,5988.430792607911,333.86022708570664,9.209833145141602,13.965336228337412,-82.90611267089844,77.2475814819336,0.3427021205425262,0.4208332002162933,0.20849859714508057,0.0018945010602108,2.213684320449829,123.046875,8.9578125,11.894281387329102,6926.6298828125,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_019.wav
D:/dataset/Con falla limpios/6mm_A100/E4_Micrófono2 (condensador)/limpio_broca_6_2_592.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\limpio_broca_6_2_592_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0040883459150791,-47.76904710051864,0.792144775390625,0.2290905220370081,1.9448844194412231,7528.920771907252,2141.005248943433,13446.725435274828,3748.5504585899535,0.032976895570755,0.0291985813528299,5469.987681306036,1037.0750680597146,9.103665351867676,17.04523355008875,-598.347412109375,10.518324851989746,0.2581925392150879,0.3120940327644348,0.27764737606048584,0.0020201660108194,0.6778013110160828,151.99908088235293,2.1533203125,49.25511169433594,180.3700561523437,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_592.wav
D:/dataset/Con falla/6mm_A100/E4_Micrófono2 (condensador)/broca_6_2_591.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\broca_6_2_591_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0292641725391149,-30.67327499624202,0.999969482421875,0.17981833863600874,22.850101470947266,6232.470861391601,881.5139804503217,11718.89099464202,1149.018757475324,0.087050162255764,0.0389184989035129,5236.390916248175,256.97563318933726,9.132207870483398,13.306735086313726,-239.8510131835937,69.75128936767578,0.4230429530143738,0.4691321849822998,0.16971763968467712,0.0061279091835381,0.6873775720596313,129.19921875,6.2984619140625,23.802490234375,1951.2515869140625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_591.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_530.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_530_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,16.253968253968253,0.0790430083870887,-22.042730765049185,0.999969482421875,0.236070914748394,43.74596405029297,6770.046468248916,367.7679453646745,11789.451765758831,473.34615260648434,0.1262654662132263,0.0275550689548254,5196.789348154798,150.83629133617268,9.492729187011719,13.321355104820642,-83.87782287597656,56.60013961791992,0.3790117800235748,0.5480189323425293,0.1699875146150589,-0.0066435090206063,1.1801708936691284,120.18531976744184,10.7666015625,19.463029861450195,4567.66650390625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_530.wav
D:/dataset/Con falla/6mm_A100/E4_Micrófono2 (condensador)/broca_6_2_592.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\broca_6_2_592_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0169307943433523,-35.42645326042114,0.999969482421875,0.18800017567145533,9.391380310058594,6401.144259150539,813.3317097677073,11831.129957838852,1009.3177570087588,0.0931745991110801,0.038701843470335,5241.002671220383,234.39088895452724,9.221918106079102,13.426688494214206,-305.22735595703125,65.45183563232422,0.3914857506752014,0.4470798969268799,0.17657846212387085,-0.0171288381010811,2.717353343963623,123.046875,7.53662109375,30.895038604736328,782.4771728515625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_592.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_180.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_180_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0028576978947967,-50.879673398399774,0.32464599609375,0.27241279251332445,0.087679199874401,7157.588076889594,2373.164580981474,11956.723479919638,4204.275432309412,0.0111957835033535,0.0173156410455703,4765.240658921921,1578.9669289909907,9.604384422302246,20.692638491310454,-659.97216796875,14.014029502868652,0.293100506067276,0.320640355348587,0.29115545749664307,0.0046338724466001,0.09375923871994019,129.19921875,5.742187499999999,68.44686889648438,17.912080764770508,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_180.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_212.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_212_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,18.575963718820866,0.0025441036559641,-51.88930361736065,0.240081787109375,0.2861620910758901,0.1060823574662208,7551.361191883259,2403.657618956453,12215.217204335182,4149.89362254075,0.0087572038173675,0.0137924067676067,4744.807606603566,1596.9404714752695,9.643478393554688,21.092252883728012,-649.250732421875,1.077393651008606,0.2301981151103973,0.2945163547992706,0.2917790114879608,0.0050112040226651,0.2620861530303955,129.19921875,7.3751220703125,55.80287170410156,16.957569122314453,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_212.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_141.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_141_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0480252131819725,-26.370613954842057,0.999969482421875,0.24064523390656228,19.05779266357422,7263.499263173542,484.775903080576,12747.498445047053,817.2721815790725,0.0991560816764831,0.0358068719506263,5818.017448320037,337.61392779455923,9.426945686340332,13.142860063823889,-141.82797241210938,70.74295043945312,0.3793109357357025,0.4599413573741913,0.17513598501682281,0.0021600898462118,1.805459976196289,120.18531976744184,8.555859374999999,19.82124900817871,1816.1119384765625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_141.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_522.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_522_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0042877732776105,-47.355363530923725,0.116943359375,0.2607939108302798,0.167702630162239,6645.226280976668,1961.8891208762625,10695.15895652898,3506.905328690117,0.0088915321975946,0.0149566978216171,4260.008356404126,1120.4451752065766,9.546525955200195,22.246570882974776,-612.5303955078125,1.340401291847229,0.2193318456411361,0.3030676543712616,0.29371508955955505,-0.0013702276465464,0.14439070224761963,129.19921875,2.813671875,29.204954147338867,28.49227333068848,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_522.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_253.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_253_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0523017905652523,-25.62966883729117,0.999969482421875,0.24124184137658228,17.782508850097656,6942.6181258260285,493.3359119174389,11951.917601807128,595.937483416707,0.1269451826810836,0.0326423645019531,5291.036630124988,170.75589180480856,9.54616641998291,13.129156622986793,-123.92149353027344,56.206356048583984,0.3607198894023895,0.4804694950580597,0.14994505047798157,-0.0007947738293586,1.4312461614608765,129.19921875,8.153906249999999,25.701013565063477,2143.103271484375,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_253.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_364.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_364_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,16.253968253968253,0.0787990763783454,-22.06957744785072,0.999969482421875,0.22902725731620271,42.08219528198242,6722.490161094954,395.3934559325863,11739.914639654711,498.5929713981251,0.1283203065395355,0.0262477006763219,5263.7150619420345,195.5900549712005,9.45923900604248,13.340882509755136,-82.36653137207031,57.44979095458984,0.3615725636482239,0.5118151903152466,0.163271963596344,-0.005809395033125,0.8955957889556885,123.046875,10.3974609375,16.86615562438965,4587.8603515625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_364.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_017.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_017_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,16.253968253968253,0.0035676998086273,-48.95223365491052,0.33331298828125,0.26522594073429695,0.1538067013025283,7070.278344313998,2119.618067577421,11649.970096694326,4122.796643262839,0.0096741830930113,0.0167131945490837,4645.067725346459,1680.27934779776,9.507852554321289,21.541261524246288,-649.0691528320312,3.7868151664733887,0.2718921601772308,0.3063413202762604,0.2946445345878601,0.0002707197817041,0.089979387819767,117.45383522727272,4.060546875,50.66592788696289,27.45368194580078,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_017.wav
