filepath,label,split,aug_type,mic_type,experiment,mel_path,group,orig_filepath,drill_diameter,coolant,gcode_pattern,drill_series,fixture,label_original,is_original,orig_experiment,duration_s,rms,rms_db,peak,zcr,mel_total_energy,centroid_mean,centroid_std,rolloff_mean,rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_entropy_mean,spectral_contrast_mean,mfcc_0_mean,mfcc_1_mean,chroma_mean_first,chroma_mean,chroma_std,tonnetz_0_mean,harmonic_percussive_ratio,tempo,onset_rate,crest_factor,wavelet_total_energy
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_019.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\broca_6_2_019_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.0938188955187797,-20.554193672393023,0.999969482421875,0.1418520465522984,77.81209564208984,5919.988466442312,469.6029561463096,12920.725245669551,916.034746117096,0.0802579224109649,0.0318179652094841,5988.430792607911,333.86022708570664,9.292574,13.088437886795834,-82.90611267089844,77.2475814819336,0.3427021205425262,0.4208332002162933,0.2740974724292755,0.0018945010602108,2.4888744,123.046875,8.9578125,10.52972,6926.6298828125
D:/dataset/Con falla limpios/6mm_A100/E4_Micrófono2 (condensador)/limpio_broca_6_2_592.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\limpio_broca_6_2_592_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0040883459150791,-47.76904710051864,0.792144775390625,0.2276406225601187,1.9448844194412231,7338.003884952741,2141.005248943433,13446.725435274828,3748.5504585899535,0.032976895570755,0.0291985813528299,5469.987681306036,1037.0750680597146,9.28676,17.166425802907188,-598.347412109375,10.518324851989746,0.2581925392150879,0.3120940327644348,0.3227733671665191,0.0020201660108194,0.4834902,151.99908088235293,2.1533203125,53.384754,180.37005615234372
D:/dataset/Con falla/6mm_A100/E4_Micrófono2 (condensador)/broca_6_2_591.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\broca_6_2_591_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0292641725391149,-30.67327499624202,0.999969482421875,0.1646197078974078,22.850101470947266,5959.112257788992,881.5139804503217,11718.89099464202,1149.018757475324,0.087050162255764,0.0389184989035129,5236.390916248175,256.97563318933726,9.369307,13.154700526644218,-239.85101318359372,69.75128936767578,0.4230429530143738,0.4691321849822998,0.2741692960262298,0.0061279091835381,1.0046822,129.19921875,6.2984619140625,20.489214,1951.2515869140625
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_530.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_530_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,16.253968253968253,0.0790430083870887,-22.042730765049185,0.999969482421875,0.2113595618085296,43.74596405029297,6340.333192609463,367.7679453646745,11789.451765758831,473.34615260648434,0.1262654662132263,0.0275550689548254,5196.789348154798,150.83629133617268,9.484768,12.915001859624423,-83.87782287597656,56.60013961791992,0.3790117800235748,0.5480189323425293,0.2447914481163025,-0.0066435090206063,1.6098222,120.18531976744184,10.7666015625,12.527148,4567.66650390625
D:/dataset/Con falla/6mm_A100/E4_Micrófono2 (condensador)/broca_6_2_592.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\broca_6_2_592_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0169307943433523,-35.42645326042114,0.999969482421875,0.1731080550242036,9.391380310058594,6110.860708635782,813.3317097677073,11831.129957838852,1009.3177570087588,0.0931745991110801,0.038701843470335,5241.002671220383,234.39088895452724,9.352591,13.371784920554552,-305.22735595703125,65.45183563232422,0.3914857506752014,0.4470798969268799,0.2808968126773834,-0.0171288381010811,1.9489255,123.046875,7.53662109375,32.355373,782.4771728515625
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_180.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_180_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0028576978947967,-50.879673398399774,0.32464599609375,0.2636468265947702,0.087679199874401,6968.877556245128,2373.164580981474,11956.723479919638,4204.275432309412,0.0111957835033535,0.0173156410455703,4765.240658921921,1578.9669289909907,9.586703,20.733433286855032,-659.97216796875,14.014029502868652,0.293100506067276,0.320640355348587,0.3197189271450043,0.0046338724466001,0.098983146,129.19921875,5.742187499999999,67.22907,17.912080764770508
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_212.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_212_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,18.575963718820866,0.0025441036559641,-51.88930361736065,0.240081787109375,0.2775819434142723,0.1060823574662208,7354.141450184346,2403.657618956453,12215.217204335182,4149.89362254075,0.0087572038173675,0.0137924067676067,4744.807606603566,1596.9404714752695,9.620516,21.146266726654886,-649.250732421875,1.077393651008606,0.2301981151103973,0.2945163547992706,0.3197122812271118,0.0050112040226651,0.40781358,129.19921875,7.3751220703125,52.768284,16.957569122314453
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_141.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_141_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0480252131819725,-26.370613954842057,0.999969482421875,0.1620504949825116,19.05779266357422,6113.492018639905,484.775903080576,12747.498445047053,817.2721815790725,0.0991560816764831,0.0358068719506263,5818.017448320037,337.61392779455923,9.400108,12.824610159785436,-141.82797241210938,70.74295043945312,0.3793109357357025,0.4599413573741913,0.2735316753387451,0.0021600898462118,2.0383346,120.18531976744184,8.555859374999999,20.56377,1816.1119384765625
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_522.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_522_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0042877732776105,-47.355363530923725,0.116943359375,0.2548821618920719,0.167702630162239,6515.53907710382,1961.8891208762625,10695.15895652898,3506.905328690117,0.0088915321975946,0.0149566978216171,4260.008356404126,1120.4451752065766,9.529138,22.33198215126195,-612.5303955078125,1.340401291847229,0.2193318456411361,0.3030676543712616,0.3190705180168152,-0.0013702276465464,0.17571697,129.19921875,2.813671875,19.199827,28.49227333068848
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_253.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_253_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0523017905652523,-25.62966883729117,0.999969482421875,0.2064866911642238,17.782508850097656,6355.092636412109,493.3359119174389,11951.917601807128,595.937483416707,0.1269451826810836,0.0326423645019531,5291.036630124988,170.75589180480856,9.495288,13.238395873003418,-123.92149353027344,56.206356048583984,0.3607198894023895,0.4804694950580597,0.2510550320148468,-0.0007947738293586,1.8590064,129.19921875,8.153906249999999,18.930044,2143.103271484375
